INSERT INTO `escenario` (`id`, `nombre`, `capacidad`, `ubicacion`) VALUES
(1, 'ANFITEATRO PRESIDENTE', 400, 'SAN SALVADOR');


INSERT INTO `zonas` (`id`, `nombre`, `capacidad`, `ubicacion`) VALUES
(1, 'VIP', '25', 'Zona Este'),
(2, 'Tribuna Este', '50', 'Zona Este'),
(3, 'Tribuna Oeste', '50', 'Zona Oeste'),
(4, 'Platinum Este', '25', 'Zona Este'),
(5, 'Platinum Oeste', '25', 'Zona Oeste'),
(6, 'Sol General', '100', 'Zona Sur');


INSERT INTO `formato` (`id`, `nombre`, `descripcion`, `id_escenario`) VALUES
(1, 'CONCIERTO', 'Se hbilita parte del escenario', 1),
(2, 'SINFONICA', 'Se habilita parte del escenario', 1),
(3, 'PARTIDO', 'Se habilita toda la localidad', 1);

INSERT INTO `zona_formato` (`id`, `id_zona`, `id_formato`) VALUES
(1, 1, 1),
(2, 2, 1),
(3, 3, 1),
(4, 1, 2),
(5, 2, 2),
(6, 3, 2),
(7, 4, 2);




INSERT INTO `asientos` (`id`, `numero`, `fila`, `id_zona`) VALUES
(1, 1, 1, 1),
(2, 2, 1, 1),
(3, 3, 1, 1),
(4, 4, 1, 1),
(5, 5, 1, 1),
(6, 6, 2, 1),
(7, 7, 2, 1),
(8, 8, 2, 1),
(9, 9, 2, 1),
(10, 10, 2, 1),
(16, 11, 3, 1),
(17, 12, 3, 1),
(18, 13, 3, 1),
(19, 14, 3, 1),
(20, 15, 3, 1),
(21, 16, 4, 1),
(22, 17, 4, 1),
(23, 18, 4, 1),
(24, 19, 4, 1),
(25, 20, 4, 1),
(26, 21, 5, 1),
(27, 22, 5, 1),
(28, 23, 5, 1),
(29, 24, 5, 1),
(30, 25, 5, 1),
(31, 26, 1, 2),
(32, 27, 1, 2),
(33, 28, 1, 2),
(34, 29, 1, 2),
(35, 30, 1, 2),
(36, 31, 1, 2),
(37, 32, 1, 2),
(38, 33, 1, 2),
(39, 34, 1, 2),
(40, 35, 1, 2),
(41, 36, 2, 2),
(42, 37, 2, 2),
(43, 38, 2, 2),
(44, 39, 2, 2),
(45, 40, 2, 2),
(46, 41, 2, 2),
(47, 42, 2, 2),
(48, 43, 2, 2),
(49, 44, 2, 2),
(50, 45, 2, 2),
(51, 46, 3, 2),
(52, 47, 3, 2),
(53, 48, 3, 2),
(54, 49, 3, 2),
(55, 50, 3, 2),
(56, 51, 3, 2),
(57, 52, 3, 2),
(58, 53, 3, 2),
(59, 54, 3, 2),
(60, 55, 3, 2),
(61, 56, 4, 2),
(62, 57, 4, 2),
(63, 58, 4, 2),
(64, 59, 4, 2),
(65, 60, 4, 2),
(66, 61, 4, 2),
(67, 62, 4, 2),
(68, 63, 4, 2),
(69, 64, 4, 2),
(70, 65, 4, 2),
(71, 66, 5, 2),
(72, 67, 5, 2),
(73, 68, 5, 2),
(74, 69, 5, 2),
(75, 70, 5, 2),
(76, 71, 5, 2),
(77, 72, 5, 2),
(78, 73, 5, 2),
(79, 74, 5, 2),
(80, 75, 5, 2),
(81, 76, 1, 3),
(82, 77, 1, 3),
(83, 78, 1, 3),
(84, 79, 1, 3),
